id,type,src,dst,app,latency,message,ctime,size,buffer
9972,LINK,0,2,11,5.000021404866667,M.USER.APP.11,63582.00004280973,1605365,1
9974,LINK,2,100,0,1.000026637144,M.USER.APP.0,63586.00004439524,3329643,1
9972,LINK,2,100,11,1.00001284292,M.USER.APP.11,63587.00006421459,1605365,1
9975,LINK,33,1,1,5.000036175413333,M.USER.APP.1,63588,2713156,1
9975,LINK,1,2,1,5.000036175413333,M.USER.APP.1,63593.000036175414,2713156,0
9976,LINK,97,41,1,5.000036175413333,M.USER.APP.1,63595,2713156,1
9975,LINK,2,100,1,1.000021705248,M.USER.APP.1,63598.00007235083,2713156,1
9976,LINK,41,2,1,5.000036175413333,M.USER.APP.1,63600.000036175414,2713156,0
9976,LINK,2,100,1,1.000021705248,M.USER.APP.1,63605.00007235083,2713156,0
9962,LINK,15,35,13,5.000039744053334,13_(69-70),63609.196274835755,2980804,0
9969,LINK,52,5,14,5.000029359893333,14_(76-79),63627.688153310104,2201992,0
9977,LINK,61,16,11,5.000021404866667,M.USER.APP.11,63629,1605365,1
9978,LINK,62,5,17,5.000042796453333,M.USER.APP.17,63630,3209734,2
9979,LINK,55,2,13,5.00002695276,M.USER.APP.13,63632,2021457,3
9969,LINK,5,2,14,5.000029359893333,14_(76-79),63632.68818267,2201992,3
9977,LINK,16,5,11,5.000021404866667,M.USER.APP.11,63634.00002140486,1605365,3
9978,LINK,5,2,17,5.000042796453333,M.USER.APP.17,63635.000042796455,3209734,3
9979,LINK,2,100,13,1.000016171656,M.USER.APP.13,63637.00002695276,2021457,3
9969,LINK,2,100,14,1.000017615936,14_(76-79),63637.68821202989,2201992,3
9973,LINK,98,2,16,5.0000242222,16_(87-88),63638.71727748691,1816665,3
9977,LINK,5,2,11,5.000021404866667,M.USER.APP.11,63639.00004280973,1605365,3
9970,LINK,65,29,16,5.0000242222,16_(87-88),63640.33623188406,1816665,3
9980,LINK,14,2,12,5.0000396870933335,M.USER.APP.12,63641,2976532,4
9978,LINK,2,100,17,1.000025677872,M.USER.APP.17,63642.688254826346,3209734,4
9973,LINK,2,100,16,1.00001453332,16_(87-88),63643.71730170911,1816665,3
9981,LINK,81,2,12,5.0000396870933335,M.USER.APP.12,63644,2976532,4
9980,LINK,2,100,12,1.000023812256,M.USER.APP.12,63646.0000396871,2976532,2
9977,LINK,2,100,11,1.00001284292,M.USER.APP.11,63647.68827623121,1605365,1
9982,LINK,98,2,6,5.00003632972,M.USER.APP.6,63648,2724729,2
9983,LINK,52,5,18,5.00003226232,M.USER.APP.18,63648,2419674,3
9981,LINK,2,100,12,1.000023812256,M.USER.APP.12,63649.0000396871,2976532,2
9984,LINK,97,41,14,5.000058506106667,M.USER.APP.14,63652,4387958,2
9985,LINK,24,5,13,5.00002695276,M.USER.APP.13,63653,2021457,3
9983,LINK,5,2,18,5.00003226232,M.USER.APP.18,63653.00003226232,2419674,3
9982,LINK,2,100,6,1.000021797832,M.USER.APP.6,63653.00003632972,2724729,3
9985,LINK,5,2,13,5.00002695276,M.USER.APP.13,63658.00002695276,2021457,1
9983,LINK,2,100,18,1.000019357392,M.USER.APP.18,63658.00006452463,2419674,1
9985,LINK,2,100,13,1.000016171656,M.USER.APP.13,63663.00009147739,2021457,0
9987,LINK,96,4,14,5.000058506106667,M.USER.APP.14,63671,4387958,0
9988,LINK,46,2,11,5.000021404866667,M.USER.APP.11,63684,1605365,0
9988,LINK,2,100,11,1.00001284292,M.USER.APP.11,63689.00002140486,1605365,0
9970,LINK,29,2,16,5.0000338871466665,16_(88-89),63693.54528836432,2541536,0
9991,LINK,71,2,10,5.000034898733333,M.USER.APP.10,63694,2617405,1
9970,LINK,2,100,16,1.000020332288,16_(88-89),63698.54532225147,2541536,1
9991,LINK,2,100,10,1.00002093924,M.USER.APP.10,63699.00003489873,2617405,1
9986,LINK,67,19,13,5.000032906533334,13_(68-69),63706.277372262775,2467990,0
9993,LINK,93,34,15,5.000022028946667,M.USER.APP.15,63708,1652171,1
9994,LINK,97,41,14,5.000058506106667,M.USER.APP.14,63708,4387958,2
9986,LINK,19,2,13,5.000032906533334,13_(68-69),63711.27740516931,2467990,2
9995,LINK,96,4,11,5.000021404866667,M.USER.APP.11,63712,1605365,3
9986,LINK,2,100,13,1.00001974392,13_(68-69),63716.27743807585,2467990,1
9995,LINK,4,2,11,5.000021404866667,M.USER.APP.11,63717.00002140486,1605365,1
9995,LINK,2,100,11,1.00001284292,M.USER.APP.11,63722.00004280973,1605365,0
9996,LINK,55,2,13,5.00002695276,M.USER.APP.13,63728,2021457,0
9984,LINK,41,2,14,5.00003639164,14_(76-80),63729.4334623116,2729373,1
9984,LINK,41,2,14,5.000057021613333,14_(76-78),63729.4334623116,4276621,2
9984,LINK,41,2,14,5.000029359893333,14_(76-79),63729.4334623116,2201992,3
9987,LINK,4,2,14,5.00003639164,14_(76-80),63729.78498786246,2729373,4
9996,LINK,2,100,13,1.000016171656,M.USER.APP.13,63733.00002695276,2021457,4
9984,LINK,2,100,14,1.000021834984,14_(76-80),63734.43349870324,2729373,3
9987,LINK,2,100,14,1.000021834984,14_(76-80),63734.7850242541,2729373,3
9984,LINK,2,100,14,1.000034212968,14_(76-78),63739.433555724856,4276621,1
9998,LINK,71,2,7,5.000055566026667,M.USER.APP.7,63743,4167452,1
9984,LINK,2,100,14,1.000017615936,14_(76-79),63744.43358508475,2201992,1
9992,LINK,61,16,16,5.0000242222,16_(87-88),63745.710743801654,1816665,1
9999,LINK,97,41,14,5.000058506106667,M.USER.APP.14,63747,4387958,2
9998,LINK,2,100,7,1.000033339616,M.USER.APP.7,63748.00005556603,4167452,2
9992,LINK,16,5,16,5.0000242222,16_(87-88),63750.710768023855,1816665,1
9992,LINK,5,2,16,5.0000242222,16_(87-88),63755.71079224606,1816665,0
9992,LINK,2,100,16,1.00001453332,16_(87-88),63760.71081646826,1816665,0
10000,LINK,93,34,15,5.000022028946667,M.USER.APP.15,63773,1652171,0
10002,LINK,46,2,11,5.000021404866667,M.USER.APP.11,63775,1605365,1
10003,LINK,97,41,1,5.000036175413333,M.USER.APP.1,63776,2713156,2
10002,LINK,2,100,11,1.00001284292,M.USER.APP.11,63780.00002140486,1605365,1
10003,LINK,41,2,1,5.000036175413333,M.USER.APP.1,63781.000036175414,2713156,0
10003,LINK,2,100,1,1.000021705248,M.USER.APP.1,63786.00007235083,2713156,0
10004,LINK,96,4,11,5.000021404866667,M.USER.APP.11,63788,1605365,0
10005,LINK,97,41,14,5.000058506106667,M.USER.APP.14,63789,4387958,1
10006,LINK,98,2,17,5.000042796453333,M.USER.APP.17,63792,3209734,2
10007,LINK,88,74,13,5.00002695276,M.USER.APP.13,63792,2021457,3
10004,LINK,4,2,11,5.000021404866667,M.USER.APP.11,63793.00002140486,1605365,3
10007,LINK,74,15,13,5.00002695276,M.USER.APP.13,63797.00002695276,2021457,2
10006,LINK,2,100,17,1.000025677872,M.USER.APP.17,63797.000042796455,3209734,2
10004,LINK,2,100,11,1.00001284292,M.USER.APP.11,63798.00004280973,1605365,2
9997,LINK,52,5,14,5.000029359893333,14_(76-79),63798.688153310104,2201992,2
10008,LINK,93,34,15,5.000022028946667,M.USER.APP.15,63800,1652171,2
9994,LINK,41,2,14,5.00003639164,14_(76-80),63801.866866117096,2729373,3
9994,LINK,41,2,14,5.000057021613333,14_(76-78),63801.866866117096,4276621,4
9994,LINK,41,2,14,5.000029359893333,14_(76-79),63801.866866117096,2201992,5
10009,LINK,71,2,4,5.000039555493333,M.USER.APP.4,63802,2966662,6
10010,LINK,20,2,0,5.00004439524,M.USER.APP.0,63803,3329643,6
9997,LINK,5,2,14,5.000029359893333,14_(76-79),63803.68818267,2201992,6
10011,LINK,24,5,8,5.0000388074133335,M.USER.APP.8,63806,2910556,6
10012,LINK,3,2,2,5.00003787568,M.USER.APP.2,63806,2840676,7
9994,LINK,2,100,14,1.000021834984,14_(76-80),63806.86690250874,2729373,7
10009,LINK,2,100,4,1.000023733296,M.USER.APP.4,63807.000039555496,2966662,7
10010,LINK,2,100,0,1.000026637144,M.USER.APP.0,63808.00004439524,3329643,6
9997,LINK,2,100,14,1.000017615936,14_(76-79),63808.68821202989,2201992,6
10012,LINK,2,100,2,1.000022725408,M.USER.APP.2,63811.00003787568,2840676,3
10011,LINK,5,2,8,5.0000388074133335,M.USER.APP.8,63811.00003880741,2910556,3
9994,LINK,2,100,14,1.000034212968,14_(76-78),63811.86695953035,4276621,3
10011,LINK,2,100,8,1.000023284448,M.USER.APP.8,63816.00007761482,2910556,1
9994,LINK,2,100,14,1.000017615936,14_(76-79),63816.866988890244,2201992,1
10013,LINK,81,2,14,5.000058506106667,M.USER.APP.14,63835,4387958,0
