id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
88,LINK,0,2,3,5.000004,M.USER.APP.3,1001.0000171428569,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
89,LINK,3,10,4,2.00001,M.USER.APP.4,1001.0000171428569,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
85,LINK,37,12,0,3.00001,0_(0-3),1002.6000323809523,30,4,"[113, 37, 12, 3]",0.0
89,LINK,10,31,4,5.000004,M.USER.APP.4,1003.0000271428569,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
82,LINK,30,91,3,6.000003333333333,M.USER.APP.3,1004.0000222857141,20,4,"[4, 1, 0, 2, 9, 30, 91]",0.0
83,LINK,31,10,4,5.000024,4_(0-6),1005.500035428571,120,4,"[31, 10]",0.0
85,LINK,12,3,0,2.000015,0_(0-3),1005.6000423809522,30,4,"[113, 37, 12, 3]",0.0
88,LINK,2,9,3,7.000002857142857,M.USER.APP.3,1006.0000211428569,20,4,"[4, 1, 0, 2, 9, 30, 91]",0.0
89,LINK,31,94,4,5.000004,M.USER.APP.4,1008.0000311428569,20,3,"[5, 1, 0, 3, 10, 31, 94]",0.0
82,LINK,91,30,3,6.000038333333333,3_(0-6),1011.5000256190472,230,2,"[91, 30]",0.0
88,LINK,9,30,3,5.000004,M.USER.APP.3,1013.0000239999997,20,2,"[4, 1, 0, 2, 9, 30, 91]",0.0
89,LINK,94,31,4,5.000006,4_(0-4),1013.9000351428567,30,2,"[94, 31]",0.0
88,LINK,30,91,3,6.000003333333333,M.USER.APP.3,1018.0000279999997,20,1,"[4, 1, 0, 2, 9, 30, 91]",0.0
89,LINK,31,10,4,5.000024,4_(0-6),1019.5000411428566,120,1,"[31, 10]",0.0
88,LINK,91,30,3,6.000038333333333,3_(0-6),1025.5000313333328,230,0,"[91, 30]",0.0
91,LINK,1,0,0,7.000002857142857,M.USER.APP.0,1089,20,0,"[1, 0, 3, 12, 37, 113]",0.0
92,LINK,2,0,1,5.000004,M.USER.APP.1,1089,20,1,"[2, 0, 1, 4, 13, 42]",0.0
